City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
64,Thunder Bay,48.4001,-89.3168,18.55,69,75,6.91,CA,2022-02-06 18:44:20,broken clouds
65,Oksfjord,70.2396,22.3479,32.18,86,66,12.62,NO,2022-02-06 18:48:56,broken clouds
66,Medicine Hat,50.0501,-110.6683,44.31,56,100,1.01,CA,2022-02-06 18:48:56,overcast clouds
67,Hasaki,35.7333,140.8333,28.8,43,0,24.02,JP,2022-02-06 18:48:56,clear sky
68,Atuona,-9.8,-139.0333,78.78,72,0,19.04,PF,2022-02-06 18:48:57,clear sky
69,Khatanga,71.9667,102.5,-18.33,98,99,8.61,RU,2022-02-06 18:48:57,overcast clouds
70,New Norfolk,-42.7826,147.0587,52.72,74,4,1.95,AU,2022-02-06 18:47:30,clear sky
71,Iberia,29.9502,-91.7507,54.97,37,0,4.61,US,2022-02-06 18:48:57,clear sky
72,Gat,31.61,34.7642,54.91,83,0,5.59,IL,2022-02-06 18:48:58,clear sky
73,Praia,14.9215,-23.5087,79.34,50,0,17.27,CV,2022-02-06 18:46:26,clear sky
74,Hovd,48.0056,91.6419,-13.88,75,12,3.2,MN,2022-02-06 18:48:58,few clouds
75,Bukama,-9.2,25.85,68.94,98,100,3.91,CD,2022-02-06 18:48:58,light rain
76,Wuwei,37.9281,102.6414,11.77,94,99,1.72,CN,2022-02-06 18:48:59,overcast clouds
77,Aykhal,66.0,111.5,-19.59,99,100,5.06,RU,2022-02-06 18:45:53,overcast clouds
78,Chalmette,29.9427,-89.9634,57.09,41,0,1.99,US,2022-02-06 18:48:59,clear sky
79,Port Elizabeth,-33.918,25.5701,79.11,88,20,17.27,ZA,2022-02-06 18:49:00,light rain
80,Lakes Entrance,-37.8811,147.981,52.57,91,8,5.59,AU,2022-02-06 18:49:00,clear sky
81,Van,38.4924,43.3831,20.55,73,40,3.44,TR,2022-02-06 18:49:00,scattered clouds
82,Tezu,27.9167,96.1667,52.0,88,100,3.83,IN,2022-02-06 18:49:01,overcast clouds
83,Saskylakh,71.9167,114.0833,-24.65,100,95,1.61,RU,2022-02-06 18:46:59,overcast clouds
84,Batemans Bay,-35.7167,150.1833,63.1,88,70,7.43,AU,2022-02-06 18:46:15,broken clouds
85,Itarema,-2.9248,-39.9167,84.34,65,100,13.89,BR,2022-02-06 18:44:12,overcast clouds
86,Hami,42.8,93.45,26.6,32,17,12.95,CN,2022-02-06 18:46:35,few clouds
87,Port Alfred,-33.5906,26.891,75.02,82,47,26.22,ZA,2022-02-06 18:49:01,scattered clouds
88,Jamestown,42.097,-79.2353,34.52,35,0,8.01,US,2022-02-06 18:46:39,clear sky
89,Natal,-5.795,-35.2094,88.45,62,20,13.8,BR,2022-02-06 18:47:00,few clouds
90,Sao Filipe,14.8961,-24.4956,73.81,71,0,10.89,CV,2022-02-06 18:49:02,clear sky
91,Mataura,-46.1927,168.8643,41.49,90,10,0.92,NZ,2022-02-06 18:47:54,clear sky
92,Ilulissat,69.2167,-51.1,-1.14,92,100,2.19,GL,2022-02-06 18:50:02,overcast clouds
93,Muisne,0.6,-80.0333,78.91,74,43,10.27,EC,2022-02-06 18:50:03,scattered clouds
94,Port Victoria,0.0939,33.9756,75.7,66,100,5.7,KE,2022-02-06 18:50:03,overcast clouds
95,Coihaique,-45.5752,-72.0662,83.01,41,20,8.05,CL,2022-02-06 18:50:03,few clouds
96,Vaini,-21.2,-175.2,75.36,94,100,12.66,TO,2022-02-06 18:47:17,light rain
97,Acapulco,16.8634,-99.8901,84.97,51,40,10.65,MX,2022-02-06 18:49:59,scattered clouds
98,Padang,-0.9492,100.3543,77.04,75,100,3.47,ID,2022-02-06 18:48:21,moderate rain
99,Aswan,24.0934,32.907,63.7,27,0,6.91,EG,2022-02-06 18:50:04,clear sky
100,Coquimbo,-29.9533,-71.3436,69.73,67,41,5.99,CL,2022-02-06 18:47:16,scattered clouds
101,Skibbereen,51.55,-9.2667,51.12,83,100,16.58,IE,2022-02-06 18:50:04,overcast clouds
102,Hambantota,6.1241,81.1185,79.14,83,40,8.05,LK,2022-02-06 18:50:05,scattered clouds
103,Lorengau,-2.0226,147.2712,81.01,79,100,7.58,PG,2022-02-06 18:50:05,overcast clouds
104,Mackenzie,55.2999,-123.1698,35.82,60,0,12.66,CA,2022-02-06 18:50:05,clear sky
105,Alta Floresta,-9.8756,-56.0861,89.42,62,40,5.75,BR,2022-02-06 18:50:06,scattered clouds
106,Taoudenni,22.6783,-3.9836,74.12,10,73,8.55,ML,2022-02-06 18:50:06,broken clouds
107,Saint George,37.1041,-113.5841,59.47,24,0,1.01,US,2022-02-06 18:46:56,clear sky
108,Bethel,41.3712,-73.414,29.17,56,0,5.75,US,2022-02-06 18:50:07,clear sky
109,Kapaa,22.0752,-159.319,73.72,84,75,11.5,US,2022-02-06 18:48:45,light rain
110,Cidreira,-30.1811,-50.2056,81.25,51,0,11.86,BR,2022-02-06 18:45:17,clear sky
111,Jingdezhen,29.2947,117.2079,38.21,97,100,3.8,CN,2022-02-06 18:50:07,light rain
112,Husavik,66.0449,-17.3389,24.71,77,100,8.23,IS,2022-02-06 18:50:07,overcast clouds
113,Atikokan,48.7555,-91.6216,13.82,82,100,7.25,CA,2022-02-06 18:50:08,overcast clouds
114,Eyl,7.9803,49.8164,75.09,71,100,16.4,SO,2022-02-06 18:50:08,overcast clouds
115,Mayor Pablo Lagerenza,-19.9309,-60.7718,98.76,19,38,13.47,PY,2022-02-06 18:50:08,scattered clouds
116,Kahului,20.8947,-156.47,76.84,76,20,12.66,US,2022-02-06 18:50:09,few clouds
117,Constitucion,-35.3333,-72.4167,71.74,56,13,9.75,CL,2022-02-06 18:47:49,few clouds
118,Kruisfontein,-34.0033,24.7314,76.89,58,100,14.34,ZA,2022-02-06 18:50:09,overcast clouds
119,Darnah,32.767,22.6367,58.73,67,97,8.59,LY,2022-02-06 18:50:09,overcast clouds
120,Hervey Bay,-25.2986,152.8535,68.11,93,18,10.0,AU,2022-02-06 18:50:10,light rain
121,Namibe,-15.1961,12.1522,75.06,69,100,13.47,AO,2022-02-06 18:50:10,overcast clouds
122,Sibolga,1.7427,98.7792,75.07,89,100,3.27,ID,2022-02-06 18:49:19,overcast clouds
123,Paveh,35.0434,46.3565,30.4,94,88,1.57,IR,2022-02-06 18:50:11,overcast clouds
124,Clyde River,70.4692,-68.5914,-32.57,75,0,5.75,CA,2022-02-06 18:50:11,clear sky
